market_ID,product_ID,prices,shares,x,satellite,wired,w
1,1,2.22324785098474,0.16836627580887611,1.874539739438269,1.0,0.0,0.03858353485454163
2,1,2.867046708265583,0.295169249427728,1.0474332973509024,1.0,0.0,0.6501230653855111
3,1,2.421667397116016,0.24824442546044972,0.9547633830143795,1.0,0.0,0.42522189496807267
4,1,2.8606329231399017,0.03349082888933233,0.6684794616623322,1.0,0.0,2.0072426661822615
5,1,3.036419631582572,0.3449372672968898,1.533811290747149,1.0,0.0,1.1767624862198207
6,1,2.395616407228866,0.1321195613592464,0.2494556941456312,1.0,0.0,0.6706938267473515
7,1,2.747318990478674,0.11019168698232441,0.30374145741726327,1.0,0.0,1.296520362934974
8,1,2.531211204657967,0.014964369468252857,0.08783341423464555,1.0,0.0,0.8760011706974117
9,1,3.123835226535318,0.5293567883678644,1.4681918954172093,1.0,0.0,0.9757052009842121
10,1,2.5646813486412343,0.058407461747140184,0.3291358404818199,1.0,0.0,0.4990733593688255
11,1,2.7203911472394906,0.21489563932526726,0.3254193140871009,1.0,0.0,1.20113083197549
12,1,3.532571493131143,0.21236572841620494,0.8442461337823179,1.0,0.0,2.576748075765441
13,1,2.387615583819515,0.14690415127803366,0.7610776263688267,1.0,0.0,0.5092164705123727
14,1,2.3226292377151023,0.09625030270388563,0.19500533096995448,1.0,0.0,0.8322389955163254
15,1,2.8582959947010034,0.046294918350699675,0.9379149772831765,1.0,0.0,1.0753197237642689
16,1,2.801988373426731,0.365804074102854,0.413064580637936,1.0,0.0,0.10451790596087848
17,1,2.8128318713889042,0.2018577235123552,1.907940277579147,1.0,0.0,0.7166283587673742
18,1,2.398798009995079,0.22860341656360253,0.20473534423719467,1.0,0.0,0.5589908828136932
19,1,2.771346057684176,0.06407111207415359,0.21069022184371392,1.0,0.0,0.6851582155259698
20,1,2.964595450856558,0.21634220446549693,0.4200370641874422,1.0,0.0,0.2865568000977539
21,1,2.4820317921354604,0.05211260767606353,1.0570009202259205,1.0,0.0,0.7021576821813619
22,1,2.8776567299534004,0.0761781167476595,0.40574445784992197,1.0,0.0,1.1238060757007649
23,1,2.389423729021243,0.110709131610988,0.5177741501566598,1.0,0.0,0.7054149704284081
24,1,2.495467666565373,0.23243014835479778,0.7033650537822963,1.0,0.0,0.4957807176487385
25,1,1.867004017160445,0.14652599235978434,0.664971000767603,1.0,0.0,0.12877370253143047
26,1,2.6406479944999264,0.18908154794799076,0.7572072673579113,1.0,0.0,0.33995890547925384
27,1,2.6354846102107463,0.5215696196452624,1.6766938348861922,1.0,0.0,0.11058159932127787
28,1,3.0359018320829754,0.004649859870841483,0.42559163905490877,1.0,0.0,1.4783743095033273
29,1,2.716835609853315,0.08285502823985112,0.4411445161506616,1.0,0.0,0.22076779622945814
30,1,2.219201940947004,0.1306904410214074,0.024612611186717995,1.0,0.0,0.6804554958304537
31,1,2.1670385632180587,0.13892670835995855,0.14617999398937015,1.0,0.0,0.4262183529546545
32,1,2.4043616722491024,0.10819084546942127,0.29467926564791036,1.0,0.0,0.9514708641630584
33,1,2.758292926293395,0.4387589385308786,1.6545389398715895,1.0,0.0,0.3714478950332437
34,1,2.8576500896075276,0.464146602396245,0.391003568321448,1.0,0.0,0.7275202857805957
35,1,2.6458625871300323,0.10002661309972405,0.03875837327614669,1.0,0.0,0.5845045296284783
36,1,2.66865851112371,0.23105214858845083,0.5095897941261511,1.0,0.0,0.3465509039009712
37,1,2.160537848532575,0.05614300675824104,0.331984507813572,1.0,0.0,0.7730141292826322
38,1,2.705010798256667,0.07152857194374282,0.18753302868120608,1.0,0.0,0.6614119521324211
39,1,2.5552869356329713,0.08592663397910179,0.10771545836953214,1.0,0.0,0.1790808078152118
40,1,2.7008113399272378,0.17807934115053506,0.8120149577793144,1.0,0.0,0.3089807667617089
41,1,2.8160760827269797,0.26490056562189046,1.560841206782232,1.0,0.0,1.3516175303135607
42,1,2.5424561091880737,0.4043886766277856,0.8171296281226781,1.0,0.0,0.43694496806534355
43,1,2.2140902700836826,0.11321173907513744,0.09782664123116619,1.0,0.0,0.08173010992134468
44,1,2.655877299700932,0.22956325938467348,0.7242075964141053,1.0,0.0,0.4715747984591952
45,1,2.905537463321026,0.07460842391108784,0.890727394066334,1.0,0.0,0.5484854496430658
46,1,2.974291545428126,0.5837576505104385,1.737401912463028,1.0,0.0,0.13814397051969599
47,1,2.450817361974384,0.30432901737335205,1.967546897350838,1.0,0.0,0.28587905838106764
48,1,2.5912812819757987,0.16076100970851484,0.07630576999145695,1.0,0.0,0.8609969550311725
49,1,2.215755014344219,0.0723067528919453,1.4040051232570576,1.0,0.0,1.3442823126523324
50,1,2.631012196690201,0.37952961184336903,0.7493542515522726,1.0,0.0,0.6430456877244409
51,1,2.5397632501201945,0.11199551679304007,0.5387470847987887,1.0,0.0,0.4926283468296371
52,1,3.0559203452183885,0.1127043683596024,1.0972505770340528,1.0,0.0,1.1855348613890486
53,1,2.5565104610419547,0.120907597239895,0.30208910210844786,1.0,0.0,0.7343638053721198
54,1,3.0086314386633966,0.39541906611712796,1.724058499845248,1.0,0.0,0.7859095526761853
55,1,3.227848934597981,0.11675034046909953,1.4514972433015936,1.0,0.0,1.1946596875878304
56,1,2.7091300532520526,0.004530365487321898,0.3698036886796808,1.0,0.0,1.581151676611167
57,1,2.79162600009435,0.2868494162787698,0.5535543194084424,1.0,0.0,0.8903795513077832
58,1,2.7331734306499538,0.07858517429212007,0.6623823581406169,1.0,0.0,1.1500603462266152
59,1,3.042853362935136,0.3156387074153841,0.7888474506011718,1.0,0.0,0.7486339351588185
60,1,2.9099299644749785,0.5007172076701345,0.7738624658870658,1.0,0.0,0.7764788679353032
61,1,2.722494014514457,0.2753195394319524,1.728846208902174,1.0,0.0,1.2869543287295087
62,1,3.387170455539389,0.11386474631840478,0.09693809430088873,1.0,0.0,1.6414938046274292
63,1,2.8936518636392567,0.07428536444682894,1.395325689271868,1.0,0.0,1.7188910601759448
64,1,2.289138855474636,0.10696346362149242,1.4036595637090483,1.0,0.0,1.0014094269600593
65,1,2.669331843145297,0.2002650438787656,0.08572333147237603,1.0,0.0,0.43594257762630123
66,1,2.5509041097123077,0.08406175789707343,0.5371671145107223,1.0,0.0,0.6872471972248855
67,1,2.334431646965111,0.1540090109820273,0.5392513887344528,1.0,0.0,0.10618501585411001
68,1,2.811270707375429,0.2616234176577786,0.7268351653181033,1.0,0.0,1.1787427663331673
69,1,3.7386314523203574,0.021087327287652707,0.0984232443711147,1.0,0.0,3.343853853694975
70,1,2.81942581422551,0.3062070243175783,1.25738634828272,1.0,0.0,0.9740830457662971
71,1,3.5806578747956843,0.08992939893363418,0.368471271848575,1.0,0.0,1.6823969417927862
72,1,2.5369696049160675,0.22556912396857604,1.682268085662681,1.0,0.0,0.055108054268958095
73,1,3.0509253540103196,0.1899458696900104,0.10091929328430599,1.0,0.0,1.1910995756199116
74,1,2.8100729896645618,0.09810440427749136,0.5055691737051824,1.0,0.0,0.8982292327999092
75,1,2.287927144529479,0.2569493087114439,1.7230208816215118,1.0,0.0,0.3139553230407073
76,1,2.6687238909345727,0.32558852535776184,1.9208169914497777,1.0,0.0,0.8136180547945396
77,1,2.3849315306163748,0.12112384260657495,0.1234044749926173,1.0,0.0,0.880724794831503
78,1,2.275985000746096,0.2554366114336987,0.666081249478705,1.0,0.0,0.1800243537883573
79,1,2.5789758267728518,0.131010222458419,0.0018616005992949127,1.0,0.0,0.8635924232213635
80,1,2.4781340692250664,0.15338452995201093,0.617225262264939,1.0,0.0,0.15023576331475433
81,1,3.3940025343483695,0.16992042657160522,1.8244504434131978,1.0,0.0,0.9250164220142426
82,1,2.46779377659386,0.2602122614285105,0.10741335205362289,1.0,0.0,1.1220956636986812
83,1,3.054234946621274,0.22147311682328474,1.150880291304631,1.0,0.0,1.800196505337714
84,1,2.3671876939057097,0.1308956537024822,0.1429676867965536,1.0,0.0,0.946722335514826
85,1,2.4290004351102823,0.16022386789613516,1.6744480076168846,1.0,0.0,0.43575485333867814
86,1,3.132883621623166,0.09621560264221063,0.4410405247901873,1.0,0.0,1.9571232040557387
87,1,2.38548105499187,0.24997692106978822,1.5291104205411299,1.0,0.0,0.5013862822985573
88,1,2.4921767514255997,0.15223894542556213,0.8912738263761827,1.0,0.0,0.4452669391579748
89,1,2.3619835550381403,0.02790724913116405,0.11036646144049167,1.0,0.0,0.7338515871821295
90,1,2.4682106094695175,0.1983397895797812,0.03599601808606924,1.0,0.0,1.18262394044027
91,1,2.527036350349405,0.3410683653539061,0.33623511435821213,1.0,0.0,0.17172254627657882
92,1,2.312121033755816,0.2705019944315131,0.3785008748275811,1.0,0.0,0.31182207527975153
93,1,2.5637923798513267,0.05914362319437182,0.5169076652258833,1.0,0.0,0.8307512166049411
94,1,2.4724650220404634,0.23771554845181123,0.12415462065532082,1.0,0.0,0.2088773575880256
95,1,3.113547495463276,0.42083132879104596,0.8166633198671036,1.0,0.0,1.012343608634965
96,1,3.06988672892631,0.22552915983203228,1.0505463087384344,1.0,0.0,1.0892755189235517
97,1,3.9217605594228107,0.1293459429155198,0.7596747412104896,1.0,0.0,2.151472324865455
